Name,Type,URL
"Acetate","All Hill Shading","http://a{s}.acetate.geoiq.com/tiles/acetate-hillshading/{z}/{x}/{y}.png"
"Acetate","Base","http://a{s}.acetate.geoiq.com/tiles/acetate-base/{z}/{x}/{y}.png"
"Acetate","Hill Shading","http://a{s}.acetate.geoiq.com/tiles/hillshading/{z}/{x}/{y}.png"
"Acetate","Terrain","http://a{s}.acetate.geoiq.com/tiles/terrain/{z}/{x}/{y}.png"
"CartoDB","Dark All","http://{s}.basemaps.cartocdn.com/dark_all/{z}/{x}/{y}.png"
"CartoDB","Dark No Labels","http://{s}.basemaps.cartocdn.com/dark_nolabels/{z}/{x}/{y}.png"
"CartoDB","Light All","http://{s}.basemaps.cartocdn.com/light_all/{z}/{x}/{y}.png"
"CartoDB","Light No Labels","http://{s}.basemaps.cartocdn.com/light_nolabels/{z}/{x}/{y}.png"
"Esri","NatGeo World Map","http://server.arcgisonline.com/ArcGIS/rest/services/NatGeo_World_Map/MapServer/tile/{z}/{y}/{x}"
"Esri","Ocean Base Map","http://server.arcgisonline.com/ArcGIS/rest/services/Ocean_Basemap/MapServer/tile/{z}/{y}/{x}"
"Esri","World Base Map","http://server.arcgisonline.com/ArcGIS/rest/services/Specialty/DeLorme_World_Base_Map/MapServer/tile/{z}/{y}/{x}"
"Esri","World Imagery Map","http://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/{z}/{y}/{x}"
"Esri","World Light Gray Base Map","http://server.arcgisonline.com/ArcGIS/rest/services/Canvas/World_Light_Gray_Base/MapServer/tile/{z}/{y}/{x}"
"Esri","World Physical Map","http://server.arcgisonline.com/ArcGIS/rest/services/World_Physical_Map/MapServer/tile/{z}/{y}/{x}"
"Esri","World Shaded Relief Map","http://server.arcgisonline.com/ArcGIS/rest/services/World_Shaded_Relief/MapServer/tile/{z}/{y}/{x}"
"Esri","World Street Map","http://server.arcgisonline.com/ArcGIS/rest/services/World_Street_Map/MapServer/tile/{z}/{y}/{x}"
"Esri","World Terrain Base Map","http://server.arcgisonline.com/ArcGIS/rest/services/World_Terrain_Base/MapServer/tile/{z}/{y}/{x}"
"Esri","World Topo Map","http://server.arcgisonline.com/ArcGIS/rest/services/World_Topo_Map/MapServer/tile/{z}/{y}/{x}"
"Hydda","Base","http://{s}.tile.openstreetmap.se/hydda/base/{z}/{x}/{y}.png"
"Hydda","Full","http://{s}.tile.openstreetmap.se/hydda/full/{z}/{x}/{y}.png"
"MapQuest","Satellite","http://otile1.mqcdn.com/tiles/1.0.0/sat/{z}/{x}/{y}.jpg"
"MapQuest","Street Map","http://otile1.mqcdn.com/tiles/1.0.0/map/{z}/{x}/{y}.jpg"
"Mapnik","DE","http://{s}.tile.openstreetmap.de/tiles/osmde/{z}/{x}/{y}.png"
"Mapnik","FR","http://{s}.tile.openstreetmap.fr/hot/{z}/{x}/{y}.png"
"OpenMapSurfer","Roads","http://openmapsurfer.uni-hd.de/tiles/roads/x={x}&y={y}&z={z}"
"OpenMapSurfer","Roads Greyscale","http://openmapsurfer.uni-hd.de/tiles/roadsg/x={x}&y={y}&z={z}"
"OpenWeatherMap","Clouds","http://{s}.tile.openweathermap.org/map/clouds/{z}/{x}/{y}.png"
"OpenWeatherMap","Clouds Classic","http://{s}.tile.openweathermap.org/map/clouds_cls/{z}/{x}/{y}.png"
"OpenWeatherMap","Precipitation","http://{s}.tile.openweathermap.org/map/precipitation/{z}/{x}/{y}.png"
"OpenWeatherMap","Precipitation Classic","http://{s}.tile.openweathermap.org/map/precipitation_cls/{z}/{x}/{y}.png"
"OpenWeatherMap","Pressure","http://{s}.tile.openweathermap.org/map/pressure/{z}/{x}/{y}.png"
"OpenWeatherMap","Pressure Contour","http://{s}.tile.openweathermap.org/map/pressure_cntr/{z}/{x}/{y}.png"
"OpenWeatherMap","Rain","http://{s}.tile.openweathermap.org/map/rain/{z}/{x}/{y}.png"
"OpenWeatherMap","Rain Classic","http://{s}.tile.openweathermap.org/map/rain_cls/{z}/{x}/{y}.png"
"OpenWeatherMap","Snow","http://{s}.tile.openweathermap.org/map/snow/{z}/{x}/{y}.png"
"OpenWeatherMap","Temperature","http://{s}.tile.openweathermap.org/map/temp/{z}/{x}/{y}.png"
"OpenWeatherMap","Wind","http://{s}.tile.openweathermap.org/map/wind/{z}/{x}/{y}.png"
"OpenCycleMap","Cycle","http://{s}.tile.opencyclemap.org/cycle/{z}/{x}/{y}.png"
"OpenStreetMap","Default","http://{s}.tile.openstreetmap.org/{z}/{x}/{y}.png"
"Stamen","Hybrid","http://{s}.tile.stamen.com/toner-hybrid/{z}/{x}/{y}.png"
"Stamen","Toner","http://{s}.tile.stamen.com/toner/{z}/{x}/{y}.png"
"Stamen","Toner Background","http://{s}.tile.stamen.com/toner-background/{z}/{x}/{y}.png"
"Stamen","Toner Lite","http://{s}.tile.stamen.com/toner-lite/{z}/{x}/{y}.png"
"Stamen","Watercolor","http://{s}.tile.stamen.com/watercolor/{z}/{x}/{y}.png"
"ThunderForest","Cycle","http://{s}.tile.thunderforest.com/cycle/{z}/{x}/{y}.png"
"ThunderForest","Landscape","http://{s}.tile.thunderforest.com/landscape/{z}/{x}/{y}.png"
"ThunderForest","Outdoors","http://{s}.tile.thunderforest.com/outdoors/{z}/{x}/{y}.png"
"ThunderForest","Transport","http://{s}.tile.thunderforest.com/transport/{z}/{x}/{y}.png"
